close,high,low,trade_count,open,volume,vwap,date,bollinger bands upper band,bollinger bands lower band,bollinger bands signals,dual thrust upperbound,dual thrust lowerbound,dual thrust signals,HA open,HA close,HA high,HA low,HA signals,awesome ma1,awesome ma2,awesome signals,macd ma1,macd ma2,macd signals,parabolic sar,sar signals,RSI,RSI signals
923.39,926.4299,901.21,475461,914.05,17753076,914.517148,2022-02-16,986.864925,836.834075,0,960.315000,903.685000,0.000000,898.224138,916.269975,926.429900,898.224138,-1.000000,900.321720,945.118588,0.000000,908.141201,794.838960,0.000000,48.320000,1.000000,57.491849,0
876.35,918.4999,874.1,639883,913.26,18934304,890.37908,2022-02-17,970.975402,840.731598,0,932.865000,876.235000,0.000000,907.247056,895.552475,918.499900,874.100000,0.000000,895.530710,943.682746,0.000000,897.544134,799.496734,0.000000,48.320000,1.000000,58.586789,0
856.98,886.87,837.61,747330,886.0,23537693,856.46368,2022-02-18,967.533689,835.481311,0,885.415000,834.585000,0.000000,901.399766,866.865000,901.399766,837.610000,1.000000,891.312710,969.042746,0.000000,884.022756,802.781492,0.000000,48.320000,1.000000,63.841492,0
821.53,856.7338,801.1001,927744,834.13,29206762,823.535089,2022-02-22,969.645595,822.522405,1,919.645000,831.875000,-1.000000,884.132383,828.373475,884.132383,801.100100,0.000000,881.893110,959.053391,0.000000,863.191837,803.852835,0.000000,48.320000,1.000000,63.317791,0
764.04,835.2997,760.56,1234437,830.43,32401059,789.109787,2022-02-23,981.780727,794.951273,1,965.564950,879.295050,-1.000000,856.252929,797.582425,856.252929,760.560000,0.000000,859.841340,948.241769,0.000000,830.141225,801.577816,0.000000,48.320000,1.000000,60.804832,0
800.77,802.48,700.0,1313573,700.39,46731804,755.379855,2022-02-24,979.711282,783.356718,0,966.524950,880.255050,-1.000000,826.917677,750.910000,826.917677,700.000000,0.000000,827.325350,937.228974,0.000000,820.350817,801.531655,0.000000,48.320000,1.000000,59.365132,0
809.87,819.5,782.4005,749573,809.23,25868608,802.307336,2022-02-25,981.256596,779.888404,0,918.255000,834.445000,-1.000000,788.913838,805.250125,819.500000,782.400500,0.000000,808.255410,929.778981,0.000000,816.857211,802.008132,0.000000,48.320000,1.000000,61.538647,0
870.43,876.86,814.7075,875788,815.01,34573104,856.264997,2022-02-28,981.306778,782.246222,0,893.325000,820.635000,0.000000,797.081982,844.251875,876.860000,797.081982,-1.000000,804.964160,923.906004,0.000000,834.714807,805.917953,0.000000,48.320000,1.000000,59.827298,0
864.37,889.88,853.78,673282,869.68,25524100,867.56481,2022-03-01,974.488789,781.829211,0,864.420000,778.640000,0.000000,820.666928,869.427500,889.880000,820.666928,-1.000000,813.546770,919.561299,1.000000,844.599872,809.258070,0.000000,48.320000,1.000000,60.901516,0
879.89,886.48,844.2721,692962,872.13,25410504,866.082341,2022-03-02,968.644164,782.537836,0,825.184950,702.895050,1.000000,845.047214,870.693025,886.480000,844.272100,0.000000,827.036010,913.915447,0.000000,856.363248,813.294180,0.000000,48.320000,1.000000,61.654739,0
839.29,886.439,832.6001,646507,878.77,21370587,854.64084,2022-03-03,965.544149,779.000851,0,882.185000,719.355000,0.000000,857.870120,859.274775,886.439000,832.600100,0.000000,848.691920,907.027344,0.000000,850.672165,814.779656,0.000000,48.320000,1.000000,58.332712,0
838.29,855.65,825.1609,596429,849.1,23109623,839.713426,2022-03-04,963.642624,775.617376,0,898.045000,721.695000,0.000000,858.572447,842.050225,858.572447,825.160900,0.000000,856.582960,900.243106,0.000000,846.544777,816.123104,0.000000,48.320000,1.000000,53.312144,0
804.58,866.14,804.57,699901,856.3,25059944,830.572147,2022-03-07,958.423867,768.962133,0,948.920000,791.940000,0.000000,850.311336,832.897500,866.140000,804.570000,0.000000,854.497210,894.439153,0.000000,832.556518,815.463498,0.000000,48.320000,1.000000,54.794409,0
824.4,849.99,782.17,737840,795.53,27487604,821.493531,2022-03-08,953.490136,765.601864,0,949.585000,779.155000,0.000000,841.604418,813.022500,849.990000,782.170000,0.000000,843.347210,887.752537,0.000000,829.837679,815.974155,0.000000,48.320000,1.000000,58.950598,0
858.97,860.56,832.01,546175,839.48,20498396,850.782292,2022-03-09,945.627865,767.161135,0,965.105000,794.675000,0.000000,827.313459,847.755000,860.560000,827.313459,0.000000,839.529000,882.501068,0.000000,839.548452,818.431061,0.000000,48.320000,1.000000,59.034032,0
838.3,854.45,810.3601,571420,851.45,20063332,830.535447,2022-03-10,933.780783,769.638217,0,929.235000,749.345000,0.000000,837.534230,838.640025,854.450000,810.360100,0.000000,834.106100,877.047393,1.000000,839.132302,819.566429,0.000000,48.320000,1.000000,53.315651,0
795.35,843.802,793.77,745310,840.197,22925892,808.794536,2022-03-11,928.048479,764.450521,0,887.034750,789.545250,0.000000,838.087127,818.279750,843.802000,793.770000,0.000000,829.782210,872.525657,0.000000,824.538201,818.182633,0.000000,48.320000,1.000000,51.119782,0
766.37,800.7,756.04,783856,780.61,23877641,773.839255,2022-03-14,930.462883,752.673117,0,837.171250,771.988750,-1.000000,828.183439,775.930000,828.183439,756.040000,1.000000,818.385210,869.169141,0.000000,805.148801,815.221911,-1.000000,48.320000,1.000000,47.281683,0
801.89,805.57,756.57,620160,775.27,23050106,788.515326,2022-03-15,926.926038,748.822962,0,867.050000,781.750000,0.000000,802.056719,784.825000,805.570000,756.570000,0.000000,811.383210,864.870171,0.000000,804.062534,814.460087,0.000000,48.320000,1.000000,41.800555,0
840.23,842.0,802.2601,751557,808.0,29157682,828.018636,2022-03-16,913.482968,754.046032,0,907.830000,810.110000,0.000000,793.440860,823.122525,842.000000,793.440860,0.000000,806.552220,861.202084,0.000000,816.118356,815.932654,1.000000,48.320000,1.000000,46.099695,0
871.6,875.0,825.7178,608932,830.99,23314040,857.165053,2022-03-17,901.439308,760.910692,0,879.229500,797.370500,0.000000,808.281692,850.826950,875.000000,808.281692,-1.000000,810.142990,860.265728,0.000000,834.612237,819.113645,0.000000,48.320000,1.000000,47.141491,0
905.39,907.85,867.39,699105,874.49,39999104,896.960166,2022-03-18,907.847400,757.406600,0,833.750000,756.950000,1.000000,829.554321,888.780000,907.850000,829.554321,-1.000000,823.909790,862.114699,0.000000,858.204825,824.043722,0.000000,48.320000,1.000000,53.572719,0
921.16,942.85,907.09,746493,914.98,28061022,922.39115,2022-03-21,920.334628,751.337372,-1,804.770000,727.970000,1.000000,859.167161,921.520000,942.850000,859.167161,0.000000,853.229790,862.848522,0.000000,879.189883,829.593224,0.000000,48.320000,1.000000,52.879394,0
993.98,997.86,921.75,940961,930.0,36121584,963.483826,2022-03-22,954.226676,734.690324,-1,853.355000,750.425000,1.000000,890.343580,960.897500,997.860000,890.343580,0.000000,888.976790,863.891316,0.000000,917.453255,838.986754,0.000000,48.320000,1.000000,54.503358,0
